Location,% of global total,Fossil emissions 2023,Fossil emissions 2000,% change from 2000
Trinidad and Tobago,0.07%,27.22,19.13,+42%
Denmark,0.07%,26.77,53.16,−50%
Laos,0.07%,26.02,0.93,"+2,685"
Syria,0.07%,25.59,45.90,−44%
Ghana,0.06%,24.16,6.09,+297%
Bolivia,0.06%,23.81,8.20,+190%
Jordan,0.06%,23.58,16.47,+43%
Cuba,0.06%,22.07,28.99,−24%
Bosnia and Herzegovina,0.06%,22.00,14.28,+54%
Kenya,0.06%,21.73,8.91,+144%
Guatemala,0.05%,21.35,9.69,+120%
Sudan and South Sudan,0.05%,21.27,6.00,+255%
Sri Lanka,0.05%,20.52,11.46,+79%
Tanzania,0.05%,19.37,3.11,+523%
Cambodia,0.05%,17.97,2.00,+798%
Nepal,0.05%,17.93,3.42,+424%
Croatia,0.04%,17.46,19.37,−10%
Lebanon,0.04%,17.33,15.31,+13%
Ethiopia,0.04%,16.71,3.88,+331%
Panama,0.04%,14.72,5.19,+184%
Ivory Coast,0.04%,14.41,6.97,+107%
Puerto Rico,0.04%,13.82,25.18,−45%
Lithuania,0.03%,13.11,11.66,+13%
Georgia,0.03%,12.86,5.21,+147%
Slovenia,0.03%,12.08,15.04,−20%
Senegal,0.03%,12.02,3.99,+201%
Zimbabwe,0.03%,11.74,14.60,−20%
Estonia,0.03%,11.44,17.38,−34%
Honduras,0.03%,10.95,5.00,+119%
Yemen,0.03%,10.90,15.74,−31%
Cameroon,0.03%,10.76,5.73,+88%
Kyrgyzstan,0.03%,10.46,4.80,+118%
Moldova,0.03%,9.93,6.89,+44%
Mozambique,0.02%,9.74,1.57,+520%
Brunei,0.02%,9.72,6.07,+60%
Tajikistan,0.02%,9.31,2.78,+234%
Uruguay,0.02%,8.82,5.57,+58%
North Macedonia,0.02%,8.76,9.04,−3%
Afghanistan,0.02%,8.71,1.02,+757%
Costa Rica,0.02%,8.57,5.12,+67%
El Salvador,0.02%,8.38,5.80,+45%
Paraguay,0.02%,8.25,3.64,+127%
Zambia,0.02%,8.06,1.95,+313%
Armenia,0.02%,7.73,3.57,+116%
Botswana,0.02%,7.42,4.10,+81%
Congo,0.02%,7.25,4.51,+61%
Uganda,0.02%,7.22,1.41,+411%
Cyprus,0.02%,7.18,7.13,+1%
Luxembourg,0.02%,7.01,8.80,−20%
Jamaica,0.02%,6.86,10.21,−33%
Mali,0.02%,6.66,0.80,+730%
Latvia,0.02%,6.55,7.23,−9%
Malawi,0.02%,6.45,3.10,+108%
Benin,0.02%,6.44,1.54,+317%
New Caledonia,0.02%,6.21,2.18,+185%
Burkina Faso,0.02%,6.00,0.88,+583%
Papua New Guinea,0.02%,5.95,2.95,+102%
Nicaragua,0.01%,5.73,3.77,+52%
Gabon,0.01%,4.93,6.60,−25%
Mauritania,0.01%,4.65,1.07,+336%
Albania,0.01%,4.59,3.23,+42%
Namibia,0.01%,4.36,1.95,+124%
Mauritius,0.01%,4.21,2.44,+73%
Madagascar,0.01%,4.10,1.69,+142%
Democratic Republic of the Congo,0.01%,3.80,1.88,+102%
Equatorial Guinea,0.01%,3.78,2.74,+38%
Guinea,0.01%,3.72,1.47,+153%
Haiti,0.009%,3.54,1.69,+109%
Guyana,0.008%,3.30,1.66,+99%
Iceland,0.008%,3.09,2.85,+8%
Macao,0.008%,3.01,1.48,+104%
Maldives,0.007%,2.88,0.64,+352%
Niger,0.007%,2.82,0.70,+302%
Suriname,0.007%,2.63,1.48,+78%
Chad,0.007%,2.57,0.24,+962%
Réunion,0.007%,2.57,2.05,+25%
Togo,0.006%,2.49,1.25,+99%
Curaçao,0.006%,2.43,5.67,−57%
Fiji,0.006%,2.21,1.46,+51%
Bhutan,0.005%,1.99,0.41,+388%
Malta,0.004%,1.68,2.13,−21%
Bahamas,0.004%,1.68,1.00,+69%
Rwanda,0.004%,1.65,0.68,+142%
Liberia,0.004%,1.64,0.40,+307%
Palau,0.004%,1.44,2.12,−32%
Eswatini,0.004%,1.39,1.10,+27%
French Polynesia,0.003%,1.26,0.72,+75%
Seychelles,0.003%,1.24,0.76,+63%
Guadeloupe,0.003%,1.17,0.62,+89%
Martinique,0.003%,1.09,0.67,+62%
Sierra Leone,0.003%,1.07,0.43,+147%
Cape Verde,0.003%,1.01,0.28,+256%
Lesotho,0.002%,0.88,0.35,+148%
Somalia,0.002%,0.87,0.63,+38%
Burundi,0.002%,0.84,0.29,+186%
Barbados,0.002%,0.80,0.59,+35%
Djibouti,0.002%,0.75,0.74,+1%
East Timor,0.002%,0.70,0.23,+208%
Gibraltar,0.002%,0.69,0.34,+102%
Eritrea 0.002%,0.67,0.67,no,change%
Gambia,0.002%,0.61,0.27,+126%
Greenland,0.001%,0.58,0.00,"+43,369"
Aruba,0.001%,0.53,0.27,+97%
Samoa,0.001%,0.47,0.19,+149%
Solomon Islands,0.001%,0.42,0.24,+78%
French Guiana,0.001%,0.38,0.17,+119%
Central African Republic,0.001%,0.37,0.26,+43%
Cayman Islands,0.001%,0.36,0.13,+172%
Bermuda,0.001%,0.35,0.15,+133%
Guinea-Bissau,0.001%,0.35,0.20,+71%
Antigua and Barbuda,0.001%,0.32,0.14,+139%
Comoros,0.001%,0.32,0.09,+250%
Saint Lucia,0.001%,0.30,0.10,+207%
Vanuatu,0.001%,0.29,0.08,+238%
Belize,0.001%,0.28,0.14,+101%
Western Sahara,0.001%,0.26,0.26,+4%
Tonga,0.001%,0.22,0.10,+118%
São Tomé and Príncipe,0.001%,0.21,0.06,+288%
Grenada,0.0004%,0.14,0.06,+149%
Cook Islands,0.0004%,0.14,0.06,+133%
Saint Kitts and Nevis,0.0003%,0.12,0.05,+140%
Turks and Caicos Islands,0.0003%,0.10,0.02,+481%
Kiribati,0.0002%,0.10,0.03,+197%
Saint Vincent and the Grenadines,0.0002%,0.10,0.04,+131%
Dominica,0.0002%,0.08,0.06,+44%
British Virgin Islands,0.0002%,0.08,0.03,+172%
Saint Pierre and Miquelon,0.0001%,0.04,0.02,+129%
Anguilla,0.0001%,0.02,0.02,+48%
Falkland Islands,0.0000%,0.02,0.01,+170%
"Saint Helena, Ascension and Tristan da Cunha",0.0000%,0.02,0.01,+58%
Faroe Islands,0.0000%,0.00,0.00,+20%
